Year,State,STATEFIP,exploitation,patronage,exclusion,rationing,component_sum,total_gini
1976,,,0.0020680596150653547,0.0007374009286704886,0.29572534784478544,0.10568220110150156,0.4042130094900228,0.6495512510614775
1976,California,6.0,0.03786071061635192,0.012659003626902338,0.2689315831225025,0.0988803443761642,0.41833164174192095,0.6503944101115432
1976,Connecticut,9.0,0.035255560458344076,0.015361815454362543,0.2903941605268735,0.12169199776816025,0.46270353420774035,0.6348898608641909
1976,District of Columbia,11.0,0.0394303494059291,0.015246256892157183,0.2070154515688533,0.0985894084747708,0.3602814663417104,0.6210533682600791
1976,Florida,12.0,0.038792997669589775,0.018950529292304195,0.23419000066259782,0.12942917696428358,0.4213627045887754,0.6875227005448872
1976,Illinois,17.0,0.031499292866422134,0.01140374904106473,0.26935754262860456,0.09052392779700663,0.40278451233309814,0.6280926310991604
1976,Indiana,18.0,0.025699184527787945,0.010034173605185307,0.2206261652728236,0.08707631785261007,0.34343584125840687,0.6205072819999174
1976,Massachusetts,25.0,0.034524056006641025,0.013738480462241374,0.26300622049240324,0.10372777025066886,0.4149965272119545,0.6430235925741786
1976,New Jersey,34.0,0.04207870258139608,0.010199619451261733,0.29434156429931874,0.08444572167830358,0.4310656080102802,0.6519498269139242
1976,New York,36.0,0.036191242589490455,0.012208053016160125,0.29956155991214034,0.09837515039800063,0.4463360059157916,0.6646581762446844
1976,North Carolina,37.0,0.023216970445103673,0.008940396443758892,0.1867480030626826,0.07088763082121438,0.28979300077275955,0.6083627739272134
1976,Ohio,39.0,0.03192000308574971,0.011873054988137711,0.2551802227542848,0.10199425630130585,0.4009675371294781,0.6361568080417538
1976,Pennsylvania,42.0,0.03325281539775175,0.011521893569571033,0.2656401805442877,0.09236922695632299,0.4027841164679335,0.6561211936424737
1976,Texas,48.0,0.04165148252087083,0.013106298292526108,0.24134563154939495,0.07224724369734155,0.3683506560601334,0.6473961576762225
1976,Michigan-Wisconsin,71.0,0.03699873024783785,0.012219125289430232,0.28389756170886815,0.10355084426955909,0.4366662615156953,0.6385857007977049
1976,Alabama-Mississippi,76.0,0.02563868756201351,0.00759183800443913,0.18671688028395486,0.0529024869371507,0.27284989278755817,0.6528352006718156
1976,New Hampshire-Maine-Vermont-Rhode Island,81.0,0.03153161501025622,0.0130691596887792,0.2845897929937569,0.11102258158278032,0.4402131492755727,0.6594459239606314
1976,South Carolina-Georgia,83.0,0.025189519300783746,0.008312529270802884,0.22071137388293477,0.06895201119125308,0.3231654336457745,0.6374928870856641
1976,Kentucky-Tennessee,84.0,0.02916616037865961,0.011643593229336802,0.24892179361406658,0.08720372103224047,0.3769352682543035,0.6637591431179103
1976,Arkansas-Louisiana-Oklahoma,85.0,0.03984745301243863,0.014170543252273427,0.22150250093043616,0.07720852262388671,0.35272901981903493,0.6762062240544011
1976,Iowa-N Dakota-S Dakota-Nebraska-Kansas-Minnesota-Missouri,87.0,0.04029254185638358,0.017699649531385253,0.2613410028949665,0.1074400754028284,0.4267732696855638,0.6445511655172335
1976,Washington-Oregon-Alaska-Hawaii,88.0,0.035978064912784595,0.01454600732629099,0.2791247615969519,0.10785193379220454,0.43750076762823203,0.6305286120123179
1976,Montana-Wyoming-Colorado-New Mexico-Utah-Nevada-Arizona-Idaho,89.0,0.046597987690130335,0.01883020829096702,0.24793351970523395,0.09531728461509544,0.4086790003014268,0.6411266857561557
1976,Delaware-Maryland-Virginia-West Virginia,90.0,0.04008800485103409,0.013185984368424546,0.24353577872253682,0.07337010160618149,0.37017986954817694,0.6375740035043534
1977,,,0.0016119759957965636,0.0005749245739314971,0.3092103934018204,0.11259817461106203,0.42399546858261045,0.6483886512207816
1977,Alabama,1.0,0.03468589787185294,0.010327230017066959,0.26390852730687525,0.06710161386352588,0.37602326905932104,0.6887434705238248
1977,Alaska,2.0,0.05643219557881919,0.01661533764321372,0.2372673911177556,0.07424899388943723,0.3845639182292257,0.5993055040779698
1977,Arizona,4.0,0.04390210523248682,0.02005911830917011,0.274198777144033,0.12627638709651978,0.4644363877822097,0.6782987424536604
1977,Arkansas,5.0,0.039659076936022226,0.012128800208703392,0.22098408963279118,0.08406515065979399,0.3568371174373108,0.6766660042869028
1977,California,6.0,0.04012578003774387,0.013465239720463627,0.29554605875460166,0.09985702885193491,0.44899410736474404,0.6522618762368937
1977,Colorado,8.0,0.045199947181066284,0.01911626748137383,0.26816765202073145,0.10349094189170217,0.4359748085748738,0.6189856083579542
1977,Connecticut,9.0,0.03622923746428384,0.013102234032503221,0.3189076927949813,0.12234969808173364,0.49058886237350197,0.6428997989719358
1977,Delaware,10.0,0.03504303531826154,0.011030122308153069,0.29562463244863685,0.09450241996888656,0.436200210043938,0.6296567161569622
1977,District of Columbia,11.0,0.05197887190426074,0.014334193571469077,0.23740216041897966,0.07586495325313376,0.37958017914784326,0.6728026196805076
1977,Florida,12.0,0.03463221386751785,0.021648137896066424,0.23018750385437944,0.1435919629791989,0.43005981859716264,0.6896647182756358
1977,Georgia,13.0,0.025179365979295664,0.009179150101574916,0.20657060145246323,0.07729491928584199,0.3182240368191758,0.6227900509769672
