num_nodes,p,noise_scale,rank_correl,wealth gini,gini- directly connected,gini- not directly connected,gini- weakly connected,gini- not weakly connected,gini- income-wealth match,gini- no income wealth match
10,0.2,0.0,0.8787878787878788,402500.6222222222,601309.5714285715,393938.79069767444,463701.95454545453,343960.2173913043,601309.5714285715,
10,0.2,0.0,0.7939393939393938,383058.8,453109.75,376224.56097560975,328081.4,398766.6285714286,453109.75,
10,0.2,0.0,0.8060606060606059,387855.2,442831.3,388698.3095238095,374722.46428571426,409485.5882352941,442831.3,
10,0.2,0.0,0.5878787878787878,332687.4222222222,269786.2,330359.88095238095,294725.3333333333,342177.94444444444,269786.2,
10,0.2,0.0,0.6242424242424242,279761.64444444445,174975.0,291601.575,279761.64444444445,,174975.0,
10,0.2,0.0,0.6242424242424242,230905.6222222222,220723.14285714287,228207.7857142857,231919.81818181818,229935.52173913043,220723.14285714287,
10,0.2,0.0,0.8666666666666665,276925.5777777778,305961.0833333333,274790.2368421053,276925.5777777778,,305961.0833333333,
10,0.2,0.0,0.8545454545454544,402982.8888888889,448936.63636363635,387677.26829268294,412322.0,394811.1666666667,448936.63636363635,
10,0.2,0.0,0.8787878787878788,247108.97777777776,243782.625,254554.3,273972.4137931034,198419.0,243782.625,
10,0.2,0.0,0.9878787878787878,231462.17777777778,179463.72727272726,235800.05263157896,215010.16666666666,250264.47619047618,179463.72727272726,
10,0.2,0.05,0.6121212121212121,376362.86666666664,214055.33333333334,383380.7804878049,231078.25,456519.8965517241,214055.33333333334,
10,0.2,0.05,0.3939393939393939,254498.3111111111,148406.7142857143,267739.73170731706,203032.5909090909,303726.39130434784,148406.7142857143,
10,0.2,0.05,0.6242424242424242,303454.8222222222,299972.1818181818,278713.10256410256,300355.44444444444,315852.3333333333,328798.4,11710.0
10,0.2,0.05,0.6727272727272726,232343.44444444444,246330.0,228180.76744186046,232343.44444444444,,246330.0,
10,0.2,0.05,0.8303030303030302,330130.0444444445,416305.1111111111,309794.15,360340.0,313462.4827586207,416305.1111111111,
10,0.2,0.05,0.4666666666666666,392153.06666666665,298890.1,420398.10256410256,336965.77777777775,428944.5925925926,367887.75,22899.5
10,0.2,0.05,0.7575757575757575,291850.22222222225,376932.77777777775,286518.92307692306,295647.22222222225,276662.22222222225,376932.77777777775,
10,0.2,0.05,0.6121212121212121,319739.26666666666,346991.6,320243.04761904763,365294.1818181818,305000.9117647059,346991.6,
10,0.2,0.05,0.7696969696969697,440764.35555555555,402963.3333333333,449817.1794871795,472552.8275862069,383147.75,402963.3333333333,
10,0.2,0.05,0.5515151515151515,358783.86666666664,316840.1,355462.48780487804,330990.1111111111,469958.8888888889,316840.1,
10,0.2,0.1,0.38181818181818183,356894.93333333335,295227.85714285716,359455.0714285714,336676.1875,368050.1034482759,341413.1666666667,18116.0
10,0.2,0.1,0.6848484848484848,362740.4666666667,436935.14285714284,348720.48780487804,361524.03571428574,364744.0,436935.14285714284,
10,0.2,0.1,0.5878787878787878,282539.8222222222,348636.3333333333,268091.8048780488,363846.3076923077,249509.0625,348636.3333333333,
